source,target,method,metric,observed,ci_lower,ci_upper,ci_contains_zero,bootstrap_positive_fraction,n_source_seeds,n_target_patients,positive_n,negative_n,method_label,source_label,target_label,direction,ci_classification
cleveland,hungary,pseudo_label_sfda,delta_roc_auc,-0.0006021678040947,-0.0029408370132477,0.0015409223203532,True,0.2872,10,294,106,188,Pseudo-label SFDA,Cleveland,Hungary,Cleveland → Hungary,inconclusive
cleveland,hungary,pseudo_label_sfda,brier_improvement,-0.000235419318316,-0.0046309366047996,0.0040437925717793,True,0.4554,10,294,106,188,Pseudo-label SFDA,Cleveland,Hungary,Cleveland → Hungary,inconclusive
cleveland,hungary,pseudo_label_sfda,delta_balanced_accuracy,0.0055549979927739,-0.0092436521477318,0.019505595142513,True,0.7824,10,294,106,188,Pseudo-label SFDA,Cleveland,Hungary,Cleveland → Hungary,inconclusive
cleveland,hungary,entropy_sfda,delta_roc_auc,-0.001555600160578,-0.0049430449618627,0.0016160678442392,True,0.1762,10,294,106,188,Entropy SFDA,Cleveland,Hungary,Cleveland → Hungary,inconclusive
cleveland,hungary,entropy_sfda,brier_improvement,0.0014860635675521,-0.004319141852268,0.0071137145880517,True,0.6904,10,294,106,188,Entropy SFDA,Cleveland,Hungary,Cleveland → Hungary,inconclusive
cleveland,hungary,entropy_sfda,delta_balanced_accuracy,0.0047521075873143,-0.017102067442794,0.0252107587314331,True,0.6742,10,294,106,188,Entropy SFDA,Cleveland,Hungary,Cleveland → Hungary,inconclusive
cleveland,hungary,reliability_gated_sfda,delta_roc_auc,-0.0001455238859895,-0.0005820955439582,0.000251028703332,True,0.2276,10,294,106,188,Reliability-gated v1,Cleveland,Hungary,Cleveland → Hungary,inconclusive
cleveland,hungary,reliability_gated_sfda,brier_improvement,-0.0002026778248503,-0.0006686506233781,0.0002488200621108,True,0.197,10,294,106,188,Reliability-gated v1,Cleveland,Hungary,Cleveland → Hungary,inconclusive
cleveland,hungary,reliability_gated_sfda,delta_balanced_accuracy,0.0001806503412284,-0.0040646326776394,0.0034574468085106,True,0.5692,10,294,106,188,Reliability-gated v1,Cleveland,Hungary,Cleveland → Hungary,inconclusive
cleveland,hungary,conservative_candidate,delta_roc_auc,-0.0001806503412283,-0.0006222400642312,0.0002308309915696,True,0.1852,10,294,106,188,Conservative candidate,Cleveland,Hungary,Cleveland → Hungary,inconclusive
cleveland,hungary,conservative_candidate,brier_improvement,0.0002612611295919,2.0666312320525224e-05,0.0005101727286037,False,0.9846,10,294,106,188,Conservative candidate,Cleveland,Hungary,Cleveland → Hungary,improvement
cleveland,hungary,conservative_candidate,delta_balanced_accuracy,0.0004466077880369,-0.0037735849056603,0.003843837816138,True,0.6182,10,294,106,188,Conservative candidate,Cleveland,Hungary,Cleveland → Hungary,inconclusive
cleveland,switzerland,pseudo_label_sfda,delta_roc_auc,-0.0007608695652174,-0.0045652173913042,0.0032608695652173,True,0.3058,10,123,115,8,Pseudo-label SFDA,Cleveland,Switzerland,Cleveland → Switzerland,inconclusive
cleveland,switzerland,pseudo_label_sfda,brier_improvement,0.006114479266942,0.0033442164525751,0.0091588471198202,False,1.0,10,123,115,8,Pseudo-label SFDA,Cleveland,Switzerland,Cleveland → Switzerland,improvement
cleveland,switzerland,pseudo_label_sfda,delta_balanced_accuracy,-0.0064130434782608,-0.0421739130434782,0.0095652173913043,True,0.392,10,123,115,8,Pseudo-label SFDA,Cleveland,Switzerland,Cleveland → Switzerland,inconclusive
cleveland,switzerland,entropy_sfda,delta_roc_auc,-0.0001086956521738,-0.0057608695652173,0.0059782608695651,True,0.4654,10,123,115,8,Entropy SFDA,Cleveland,Switzerland,Cleveland → Switzerland,inconclusive
cleveland,switzerland,entropy_sfda,brier_improvement,0.00893665527593,0.0055256046256795,0.0126288009416233,False,1.0,10,123,115,8,Entropy SFDA,Cleveland,Switzerland,Cleveland → Switzerland,improvement
cleveland,switzerland,entropy_sfda,delta_balanced_accuracy,-0.0078804347826086,-0.0522839673913043,0.0152173913043478,True,0.3914,10,123,115,8,Entropy SFDA,Cleveland,Switzerland,Cleveland → Switzerland,inconclusive
cleveland,switzerland,reliability_gated_sfda,delta_roc_auc,-0.0003260869565217,-0.0032608695652173,0.0026086956521739,True,0.3732,10,123,115,8,Reliability-gated v1,Cleveland,Switzerland,Cleveland → Switzerland,inconclusive
cleveland,switzerland,reliability_gated_sfda,brier_improvement,-0.0028390447839158,-0.0039968194366344,-0.0017891438255395,False,0.0,10,123,115,8,Reliability-gated v1,Cleveland,Switzerland,Cleveland → Switzerland,deterioration
cleveland,switzerland,reliability_gated_sfda,delta_balanced_accuracy,-0.0021739130434782,-0.0065217391304347,0.0,True,0.0,10,123,115,8,Reliability-gated v1,Cleveland,Switzerland,Cleveland → Switzerland,inconclusive
cleveland,switzerland,conservative_candidate,delta_roc_auc,-0.0004347826086956,-0.0025,0.0013043478260868,True,0.2636,10,123,115,8,Conservative candidate,Cleveland,Switzerland,Cleveland → Switzerland,inconclusive
cleveland,switzerland,conservative_candidate,brier_improvement,0.0017886121797815,0.0012157729992684,0.0024793414533751,False,1.0,10,123,115,8,Conservative candidate,Cleveland,Switzerland,Cleveland → Switzerland,improvement
cleveland,switzerland,conservative_candidate,delta_balanced_accuracy,-0.0116304347826086,-0.0495652173913043,0.0026086956521739,True,0.2234,10,123,115,8,Conservative candidate,Cleveland,Switzerland,Cleveland → Switzerland,inconclusive
cleveland,va_long_beach,pseudo_label_sfda,delta_roc_auc,0.000986971969996,-0.0028559678905119,0.0050931043558363,True,0.6878,10,200,149,51,Pseudo-label SFDA,Cleveland,VA Long Beach,Cleveland → VA Long Beach,inconclusive
cleveland,va_long_beach,pseudo_label_sfda,brier_improvement,-0.0005322668738382,-0.0028977545573239,0.001836365897373,True,0.3224,10,200,149,51,Pseudo-label SFDA,Cleveland,VA Long Beach,Cleveland → VA Long Beach,inconclusive
cleveland,va_long_beach,pseudo_label_sfda,delta_balanced_accuracy,0.0020134228187919,0.0,0.0067114093959731,True,0.8418,10,200,149,51,Pseudo-label SFDA,Cleveland,VA Long Beach,Cleveland → VA Long Beach,inconclusive
cleveland,va_long_beach,entropy_sfda,delta_roc_auc,0.0013686011317278,-0.0040136860113172,0.007158836689038,True,0.6806,10,200,149,51,Entropy SFDA,Cleveland,VA Long Beach,Cleveland → VA Long Beach,inconclusive
cleveland,va_long_beach,entropy_sfda,brier_improvement,-0.0013347176470051,-0.0046207786681468,0.0019999271797902,True,0.2112,10,200,149,51,Entropy SFDA,Cleveland,VA Long Beach,Cleveland → VA Long Beach,inconclusive
cleveland,va_long_beach,entropy_sfda,delta_balanced_accuracy,0.0023489932885906,0.0,0.0080536912751677,True,0.786,10,200,149,51,Entropy SFDA,Cleveland,VA Long Beach,Cleveland → VA Long Beach,inconclusive
cleveland,va_long_beach,reliability_gated_sfda,delta_roc_auc,0.0003816291617317,-0.0005263850506645,0.0013554415054612,True,0.7966,10,200,149,51,Reliability-gated v1,Cleveland,VA Long Beach,Cleveland → VA Long Beach,inconclusive
